spacing,range_pct,levels,max_inventory_pct,n_windows,mean_return_pct,total_net_pnl,win_rate,worst_net_pnl,mean_funding,mean_fees,split
0.001,0.01,5,0.25,24,-0.0014965522961086985,-35.91725510660876,0.5416666666666666,-8.648356091082519,-0.19987095444223477,1.1062725208333326,dev
0.001,0.01,5,0.5,24,-0.00301281763086619,-72.30762314078856,0.5416666666666666,-17.502625422421033,-0.40507106586571373,2.2234814795833326,dev
0.001,0.01,10,0.25,24,-0.0016560397284640087,-39.744953483136214,0.5416666666666666,-9.089423532880687,-0.2254667701302456,0.9796719479166668,dev
0.001,0.01,10,0.5,24,-0.0033497519065128216,-80.39404575630772,0.5416666666666666,-18.178847065763193,-0.45239458067928323,1.9695052133333333,dev
0.001,0.02,5,0.25,24,-0.0014965522961086985,-35.91725510660876,0.5416666666666666,-8.648356091082519,-0.19987095444223477,1.1062725208333326,dev
0.001,0.02,5,0.5,24,-0.00301281763086619,-72.30762314078856,0.5416666666666666,-17.502625422421033,-0.40507106586571373,2.2234814795833326,dev
0.001,0.02,10,0.25,24,-0.0016560397284640087,-39.744953483136214,0.5416666666666666,-9.089423532880687,-0.2254667701302456,0.9796719479166668,dev
0.001,0.02,10,0.5,24,-0.0033497519065128216,-80.39404575630772,0.5416666666666666,-18.178847065763193,-0.45239458067928323,1.9695052133333333,dev
0.002,0.01,5,0.25,24,-0.0006332200742109204,-15.197281781062088,0.5416666666666666,-6.6336035879679685,-0.20324743254427635,0.5533495458333334,dev
0.002,0.01,5,0.5,24,-0.0012877112184384932,-30.905069242523837,0.5416666666666666,-13.267207175933208,-0.3914711617717441,1.1041867399999996,dev
0.002,0.01,10,0.25,24,-0.00029630438060622075,-7.111305134549298,0.5416666666666666,-3.2491119614531954,-0.10142780560601238,0.27892898541666666,dev
0.002,0.01,10,0.5,24,-0.0006041546145441288,-14.49971074905909,0.5416666666666666,-6.6336035879679685,-0.20324566871078986,0.5608816833333333,dev
0.002,0.02,5,0.25,24,-0.0006332200742109204,-15.197281781062088,0.5416666666666666,-6.6336035879679685,-0.20324743254427635,0.5533495458333334,dev
0.002,0.02,5,0.5,24,-0.0012877112184384932,-30.905069242523837,0.5416666666666666,-13.267207175933208,-0.3914711617717441,1.1041867399999996,dev
0.002,0.02,10,0.25,24,-0.0007712224753852343,-18.509339409245626,0.5416666666666666,-6.841232753751569,-0.19848725455156344,0.42893911874999985,dev
0.002,0.02,10,0.5,24,-0.0015668389113249598,-37.604133871799036,0.5416666666666666,-13.967516872243664,-0.39711247132506733,0.8623565274999998,dev
0.004,0.01,5,0.25,24,-6.993897834348662e-06,-0.16785354802436814,0.5,-1.496883316453932,-0.06879323366767615,0.09859687875,dev
0.004,0.01,5,0.5,24,-1.4688175129577992e-05,-0.35251620310987164,0.5,-3.0209826932070882,-0.13924309929621295,0.19827296333333336,dev
0.004,0.01,10,0.25,24,-2.6195584544979107e-06,-0.06286940290794973,0.5,-0.7348336280774674,-0.034276888454462875,0.04902222208333334,dev
0.004,0.01,10,0.5,24,-6.993897834348662e-06,-0.16785354802436814,0.5,-1.496883316453932,-0.06879323366767615,0.09859687875,dev
0.004,0.02,5,0.25,24,-0.00037125723993437976,-8.910173758425117,0.4583333333333333,-5.3250336314204105,-0.18915217826776218,0.2315506241666667,dev
0.004,0.02,5,0.5,24,-0.0007450705016189071,-17.88169203885377,0.4583333333333333,-10.650067262840366,-0.38297177745218036,0.4659140595833334,dev
0.004,0.02,10,0.25,24,-0.00016973151064947464,-4.073556255587391,0.4583333333333333,-2.6081797378385545,-0.09405254398269271,0.11641081041666668,dev
0.004,0.02,10,0.5,24,-0.00034810231684688606,-8.354455604325267,0.4583333333333333,-5.3250336314204105,-0.1881932751802622,0.23405460416666668,dev
0.001,0.01,5,0.25,16,-0.000927435242937925,-14.838963887006798,0.5625,-6.811208421897277,0.01036123456218694,0.41683343375000004,eval
0.001,0.01,5,0.5,16,-0.0018600555573978,-29.7608889183648,0.5625,-13.677703794792023,0.034165776352041835,0.81913942125,eval
0.001,0.01,10,0.25,16,-0.0008701934584149385,-13.923095334639015,0.5625,-7.123733492478323,0.015372659085096859,0.37583771750000017,eval
0.001,0.01,10,0.5,16,-0.0017474493375243582,-27.959189400389732,0.5625,-14.247466984955054,0.03137403497587842,0.7575328381250004,eval
0.001,0.02,5,0.25,16,-0.000927435242937925,-14.838963887006798,0.5625,-6.811208421897277,0.01036123456218694,0.41683343375000004,eval
0.001,0.02,5,0.5,16,-0.0018600555573978,-29.7608889183648,0.5625,-13.677703794792023,0.034165776352041835,0.81913942125,eval
0.001,0.02,10,0.25,16,-0.0008701934584149385,-13.923095334639015,0.5625,-7.123733492478323,0.015372659085096859,0.37583771750000017,eval
0.001,0.02,10,0.5,16,-0.0017474493375243582,-27.959189400389732,0.5625,-14.247466984955054,0.03137403497587842,0.7575328381250004,eval
0.002,0.01,5,0.25,16,-0.0006847332671716018,-10.955732274745628,0.5,-6.831127716603191,-1.8967152706425572e-07,0.214396049375,eval
0.002,0.01,5,0.5,16,-0.0013837774618374538,-22.140439389399262,0.5,-13.66225543320661,-0.00015814558749897324,0.42897866,eval
0.002,0.01,10,0.25,16,-0.00034104983809545074,-5.456797409527212,0.5,-3.364585293252617,-4.807934545886022e-05,0.106386899375,eval
0.002,0.01,10,0.5,16,-0.0006847332671716018,-10.955732274745628,0.5,-6.831127716603191,-1.8967152706425572e-07,0.214396049375,eval
0.002,0.02,5,0.25,16,-0.0006847332671716018,-10.955732274745628,0.5,-6.831127716603191,-1.8967152706425572e-07,0.214396049375,eval
0.002,0.02,5,0.5,16,-0.0013837774618374538,-22.140439389399262,0.5,-13.66225543320661,-0.00015814558749897324,0.42897866,eval
0.002,0.02,10,0.25,16,-0.0005754241952023805,-9.206787123238087,0.5625,-5.835126382007047,0.008398192297608078,0.156650540625,eval
0.002,0.02,10,0.5,16,-0.0011555281095030452,-18.488449752048723,0.5625,-11.670252764014549,0.017044791747051632,0.31564430125000004,eval
0.004,0.01,5,0.25,16,-0.00022691775862850958,-3.6306841380561536,0.5,-2.798348266641483,-0.0059165611285084165,0.05023377875,eval
0.004,0.01,5,0.5,16,-0.0004552487197313866,-7.283979515702185,0.5,-5.596696533282625,-0.01185805973134928,0.10098796,eval
0.004,0.01,10,0.25,16,-0.00011318016275414778,-1.8108826040663644,0.5,-1.3782909373009034,-0.002930095254193176,0.024915520625000003,eval
0.004,0.01,10,0.5,16,-0.00022691775862850958,-3.6306841380561536,0.5,-2.798348266641483,-0.0059165611285084165,0.05023377875,eval
0.004,0.02,5,0.25,16,-0.00040562208042577906,-6.489953286812465,0.625,-4.930968306798377,0.006054129574223424,0.102991838125,eval
0.004,0.02,5,0.5,16,-0.0008135118943762762,-13.01619031002042,0.625,-9.932379017979656,0.012214295623816963,0.20709912125000002,eval
0.004,0.02,10,0.25,16,-0.00020247540678976605,-3.239606508636257,0.625,-2.465484153399075,0.002998130710259059,0.051099984375000004,eval
0.004,0.02,10,0.5,16,-0.00040562208042577906,-6.489953286812465,0.625,-4.930968306798377,0.006054129574223424,0.102991838125,eval
