tag,setting,exit_slippage_bps,n_windows,mean_return_pct,total_net_pnl,win_rate
exec_model,optimistic,5,16,0.0001083151934959474,1.7330430959351588,0.5625
exec_model,conservative,5,16,-0.00011318016275414776,-1.8108826040663644,0.5
slippage,0bps,0,16,-0.00010023311587915629,-1.6037298540665006,0.625
slippage,2bps,2,16,-0.00010541193462915288,-1.686590954066446,0.5625
slippage,5bps,5,16,-0.00011318016275414776,-1.8108826040663644,0.5
slippage,10bps,10,16,-0.00012612720962916057,-2.018035354066569,0.5
maker_fee,0bp,5,16,-0.00010121168900414546,-1.6193870240663273,0.5625
maker_fee,1bp,5,16,-0.00010719592587913949,-1.7151348140662321,0.5625
maker_fee,2bp,5,16,-0.00011318016275414776,-1.8108826040663644,0.5
fill_drop,0%,5,16,-0.00011318016275414776,-1.8108826040663644,0.5
fill_drop,10%,5,16,-0.00011318016275414776,-1.8108826040663644,0.5
fill_drop,25%,5,16,-0.00011318016275414776,-1.8108826040663644,0.5
