tag,setting,exit_slippage_bps,n_windows,mean_return_pct,total_net_pnl,win_rate
exec_model,optimistic,5,19,0.0016374892000765398,31.112294801454254,0.7894736842105263
exec_model,conservative,5,19,0.00021454615270814477,4.076376901454751,0.631578947368421
slippage,0bps,0,19,0.000224929086918672,4.273652651454768,0.631578947368421
slippage,2bps,2,19,0.00022077591323446351,4.194742351454806,0.631578947368421
slippage,5bps,5,19,0.00021454615270814477,4.076376901454751,0.631578947368421
slippage,10bps,10,19,0.0002041632184976116,3.87910115145462,0.631578947368421
maker_fee,0bp,5,19,0.0002656434242871072,5.047225061455038,0.631578947368421
maker_fee,1bp,5,19,0.00024009478849772772,4.561800981456827,0.631578947368421
maker_fee,2bp,5,19,0.00021454615270814477,4.076376901454751,0.631578947368421
fill_drop,0%,5,19,0.00021454615270814477,4.076376901454751,0.631578947368421
fill_drop,10%,5,19,0.00020991608378541352,3.988405591922856,0.631578947368421
fill_drop,25%,5,19,0.00018849263270814581,3.5813600214547705,0.631578947368421
